annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local,raison_anomalie_bloquante,raison_validation_metier
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,1,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Coronatae,3,5,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,2,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Coronatae,3,6,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,3,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Coronatae,3,7,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,4,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Coronatae,3,8,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,5,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Coronatae,3,9,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,6,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Coronatae,3,10,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,7,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Coronatae,3,11,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,8,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Coronatae,3,12,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,9,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Coronatae,3,13,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,10,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Coronatae,3,14,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,11,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Coronatae,3,15,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,15,polypes,10.0,10,standard,FFFF00,Suivi_2020.xlsx,Coronatae,3,19,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,38,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,42,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,39,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,43,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,40,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,44,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,41,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Coronatae,3,45,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,42,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Coronatae,3,46,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,43,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Coronatae,3,47,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,44,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,48,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,45,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,49,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,46,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,50,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,47,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,51,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,48,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,52,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,49,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,53,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,50,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,54,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,51,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,55,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,52,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Coronatae,3,56,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,1,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,5,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,2,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,6,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,3,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,7,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,4,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,8,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,5,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,9,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,6,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,10,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,7,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,11,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,8,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,12,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,9,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,13,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,10,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,14,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,11,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,15,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,15,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,19,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,38,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,42,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,39,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,43,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,40,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,44,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,41,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,45,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,42,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,46,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,43,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,47,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,44,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,48,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,45,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,49,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,46,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,50,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
2020,Coronatae,Linuche aquila,LAQ-JKA-1.01,25.0,47,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Coronatae,4,51,False,LAQ,LAQ-JKA-1,1,JKA,01,,nom_scientifique_plusieurs_codes;
